ActiveIngredient,Category,Event,Event description,Timepoint start,Timepoint end,Quantity outcome 1,Reference/link to data,Accessed on
ARIPIPRAZOLE,List of FDA Approved Psych Drugs,ARIPIPRAZOLE,ARIPIPRAZOLE - NDA,2002-11-15,2002-11-15,,https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files,2023-02-11
ASENAPINE,List of FDA Approved Psych Drugs,ASENAPINE,ASENAPINE - NDA,2009-08-13,2009-08-13,,https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files,2023-02-11
ATOMOXETINE,List of FDA Approved Psych Drugs,ATOMOXETINE,ATOMOXETINE - NDA,2002-11-26,2002-11-26,,https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files,2023-02-11
BREXPIPRAZOLE,List of FDA Approved Psych Drugs,BREXPIPRAZOLE,BREXPIPRAZOLE - NDA,2015-07-10,2015-07-10,,https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files,2023-02-11
CARIPRAZINE,List of FDA Approved Psych Drugs,CARIPRAZINE,CARIPRAZINE - NDA,2015-09-17,2015-09-17,,https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files,2023-02-11
CITALOPRAM HYDROBROMIDE,List of FDA Approved Psych Drugs,CITALOPRAM HYDROBROMIDE,CITALOPRAM HYDROBROMIDE - NDA,1998-07-17,1998-07-17,,https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files,2023-02-11
DESVENLAFAXINE,List of FDA Approved Psych Drugs,DESVENLAFAXINE,DESVENLAFAXINE - NDA,2008-02-29,2008-02-29,,https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files,2023-02-11
DULOXETINE,List of FDA Approved Psych Drugs,DULOXETINE,DULOXETINE - NDA,2004-08-03,2004-08-03,,https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files,2023-02-11
ILOPERIDONE,List of FDA Approved Psych Drugs,ILOPERIDONE,ILOPERIDONE - NDA,2009-05-06,2009-05-06,,https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files,2023-02-11
LUMATEPERONE TOSYLATE,List of FDA Approved Psych Drugs,LUMATEPERONE TOSYLATE,LUMATEPERONE TOSYLATE - NDA,2019-12-20,2019-12-20,,https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files,2023-02-11
LURASIDONE,List of FDA Approved Psych Drugs,LURASIDONE,LURASIDONE - NDA,2010-10-28,2010-10-28,,https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files,2023-02-11
PALIPERIDONE,List of FDA Approved Psych Drugs,PALIPERIDONE,PALIPERIDONE - NDA,2006-12-19,2006-12-19,,https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files,2023-02-11
PIMAVANSERIN,List of FDA Approved Psych Drugs,PIMAVANSERIN,PIMAVANSERIN - NDA,2016-04-29,2016-04-29,,https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files,2023-02-11
RASAGILINE,List of FDA Approved Psych Drugs,RASAGILINE,RASAGILINE - NDA,2006-05-16,2006-05-16,,https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files,2023-02-11
REMIMAZOLAM BESYLATE,List of FDA Approved Psych Drugs,REMIMAZOLAM BESYLATE,REMIMAZOLAM BESYLATE - NDA,2020-07-02,2020-07-02,,https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files,2023-02-11
VILAZODONE,List of FDA Approved Psych Drugs,VILAZODONE,VILAZODONE - NDA,2011-01-21,2011-01-21,,https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files,2023-02-11
VORTIOXETINE HYDROBROMIDE,List of FDA Approved Psych Drugs,VORTIOXETINE HYDROBROMIDE,VORTIOXETINE HYDROBROMIDE - NDA,2013-09-30,2013-09-30,,https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files,2023-02-11
ZIPRASIDONE,List of FDA Approved Psych Drugs,ZIPRASIDONE,ZIPRASIDONE - NDA,2001-02-05,2001-02-05,,https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files,2023-02-11
