Invasion,Invading forces,Defending forces
2022 al-Shabaab invasion of Ethiopia,Al-Shabaab,Ethiopia
2008 invasion of Anjouan,Comoros,Anjouan
1990 invasion of Rwanda,Rwandan Patriotic Front,Rwanda
1967 invasions of Biafra,Nigeria,Biafra
1944 invasion of Azad Hind,United Kingdom,Azad Hind
1941 invasion of Greenland,United States,Greenland
"1865 invasion of Tonkin, Vietnam",Black Flag Army,Siam Luang Phrabang
1863 invasion of the United States,Confederate States of America,United States
1862 invasion of the United States Maryland Kentucky,Confederate States of America,United States
1861-1865 invasions of the Confederate States Virginia Tennessee Lower Seaboard Pacific coast West,United States,Confederate States of America
1835 invasion of Riograndense Republic,Brazil,Riograndese Republic
1800 invasion of Piedmont,France,Piedmont
