Year,Number of states
1964,115
1965,117
1966,122
1967,123
1968,126
1969,126
1970,127
1971,132
1972,132
1973,135
1974,138
1975,144
1976,147
1977,149
1978,151
1979,152
1980,154
1981,157
1982,157
1983,158
1984,159
1985,159
1986,159
1987,159
1988,159
1989,159
1990,159
1991,166
1992,179
1993,184
1994,185
1995,185
1996,185
1997,185
1998,185
1999,188
2000,189
2001,189
2002,191
2003,191
2004,191
2005,191
2006,192
2007,192
2008,192
2009,192
2010,192
2011,193
2012,193
2013,193
2014,193
2015,193
2016,193
2017,193
2018,193
2019,193
2020,193
2021,193
2022,193
2023,193
